group_no,cultivar,quality_grade,frames,original_split,split,cv_fold
601031001000,fuji,L,184,train,train,2
601031002000,fuji,L,184,train,train,1
601031003000,fuji,L,184,train,train,2
601031004000,fuji,L,184,train,train,4
601031005000,fuji,L,184,train,validation,1
601031006000,fuji,L,184,train,train,0
601031007000,fuji,L,184,train,validation,1
601031008000,fuji,L,184,train,train,0
601031009000,fuji,L,184,train,train,3
601031010000,fuji,L,184,train,train,2
601031011000,fuji,L,184,train,test,
601031012000,fuji,L,184,train,train,0
601031013000,fuji,L,184,train,train,2
601031014000,fuji,L,184,train,validation,4
601031015000,fuji,L,184,train,test,
601031016000,fuji,L,184,train,test,
601031017000,fuji,L,184,train,train,3
601031018000,fuji,L,184,train,train,3
601031019000,fuji,L,184,train,train,0
601031020000,fuji,L,153,train,train,1
601031026000,fuji,L,92,validation,train,4
601031027000,fuji,L,184,validation,train,4
601031028000,fuji,L,184,validation,validation,1
601031029000,fuji,L,61,validation,train,3
601032001000,fuji,M,184,train,train,0
601032002000,fuji,M,184,train,train,1
601032003000,fuji,M,184,train,test,
601032004000,fuji,M,184,train,train,3
601032005000,fuji,M,184,train,train,1
601032006000,fuji,M,184,train,train,4
601032007000,fuji,M,184,train,train,0
601032008000,fuji,M,184,train,train,0
601032009000,fuji,M,184,train,train,4
601032010000,fuji,M,184,train,validation,0
601032011000,fuji,M,184,train,validation,4
601032012000,fuji,M,184,train,train,1
601032013000,fuji,M,184,train,train,2
601032014000,fuji,M,184,train,train,2
601032015000,fuji,M,184,train,test,
601032016000,fuji,M,184,train,test,
601032017000,fuji,M,184,train,train,3
601032018000,fuji,M,184,train,train,4
601032019000,fuji,M,184,train,train,2
601032020000,fuji,M,153,train,train,2
601032026000,fuji,M,92,validation,train,3
601032027000,fuji,M,184,validation,train,1
601032028000,fuji,M,184,validation,test,
601032029000,fuji,M,61,validation,validation,3
601033001000,fuji,S,184,train,train,0
601033002000,fuji,S,184,train,train,2
601033003000,fuji,S,184,train,test,
601033004000,fuji,S,184,train,train,3
601033005000,fuji,S,184,train,train,3
601033006000,fuji,S,184,train,train,0
601033007000,fuji,S,184,train,train,2
601033008000,fuji,S,184,train,validation,4
601033009000,fuji,S,184,train,train,1
601033010000,fuji,S,184,train,validation,3
601033011000,fuji,S,184,train,validation,4
601033012000,fuji,S,184,train,train,0
601033013000,fuji,S,184,train,test,
601033014000,fuji,S,184,train,validation,4
601033015000,fuji,S,184,train,train,0
601033016000,fuji,S,184,train,train,0
601033017000,fuji,S,184,train,train,2
601033018000,fuji,S,184,train,train,2
601033019000,fuji,S,184,train,train,4
601033020000,fuji,S,154,train,train,1
601033026000,fuji,S,91,validation,test,
601033027000,fuji,S,184,validation,train,1
601033028000,fuji,S,184,validation,train,3
601033029000,fuji,S,63,validation,train,1
601141001000,yanggwang,L,184,train,train,3
601141002000,yanggwang,L,184,train,train,1
601141003000,yanggwang,L,184,train,train,0
601141004000,yanggwang,L,184,train,train,3
601141005000,yanggwang,L,184,train,train,2
601141006000,yanggwang,L,184,train,test,
601141007000,yanggwang,L,184,train,validation,1
601141008000,yanggwang,L,184,train,train,2
601141009000,yanggwang,L,184,train,test,
601141010000,yanggwang,L,184,train,train,3
601141011000,yanggwang,L,184,train,train,1
601141012000,yanggwang,L,184,train,train,0
601141013000,yanggwang,L,184,train,test,
601141014000,yanggwang,L,184,train,test,
601141015000,yanggwang,L,184,train,validation,2
601141016000,yanggwang,L,184,train,train,2
601141017000,yanggwang,L,184,train,train,4
601141018000,yanggwang,L,184,train,train,3
601141019000,yanggwang,L,184,train,train,4
601141020000,yanggwang,L,153,train,validation,4
601141026000,yanggwang,L,92,validation,train,1
601141027000,yanggwang,L,184,validation,train,0
601141028000,yanggwang,L,184,validation,train,0
601141029000,yanggwang,L,61,validation,train,4
601142001000,yanggwang,M,184,train,validation,0
601142002000,yanggwang,M,184,train,train,2
601142003000,yanggwang,M,184,train,validation,3
601142004000,yanggwang,M,184,train,test,
601142005000,yanggwang,M,184,train,train,0
601142006000,yanggwang,M,184,train,train,2
601142007000,yanggwang,M,184,train,train,1
601142008000,yanggwang,M,184,train,train,4
601142009000,yanggwang,M,184,train,train,3
601142010000,yanggwang,M,184,train,test,
601142011000,yanggwang,M,184,train,train,4
601142012000,yanggwang,M,184,train,validation,4
601142013000,yanggwang,M,184,train,train,2
601142014000,yanggwang,M,184,train,test,
601142015000,yanggwang,M,40,train,test,
601142016000,yanggwang,M,40,train,train,0
601142017000,yanggwang,M,40,train,train,1
601142018000,yanggwang,M,40,train,validation,3
